title,release_year,runtime
The Green Berets,1968.0,142.0
Elevator to the Gallows,1958.0,88.0
The Diary of a Chambermaid,1946.0,91.0
Violent Cop,1989.0,103.0
Four Shades of Brown,2004.0,192.0
Brian's Song,1971.0,73.0
Thriller: A Cruel Picture,1973.0,104.0
Cube Zero,2004.0,97.0
Into the Sun,2005.0,97.0
Project Grizzly,1997.0,72.0
Lumikuningatar,1986.0,0.0
Julia,1977.0,117.0
Save the Green Planet!,2003.0,118.0
Stealing Rembrandt,2003.0,109.0
A Snake of June,2002.0,77.0
Thirty Seconds Over Tokyo,1944.0,138.0
Vares: Private Eye,2004.0,95.0
Girl Crazy,1943.0,99.0
The 3 Penny Opera,1931.0,112.0
The Boys from County Clare,2003.0,91.0
Ice Princess,2005.0,98.0
Melinda and Melinda,2004.0,100.0
Milk and Honey,2003.0,90.0
Miss Congeniality 2: Armed and Fabulous,2005.0,115.0
Guess Who,2005.0,105.0
D.E.B.S.,2004.0,91.0
A League of Ordinary Gentlemen,2004.0,93.0
Incident at Loch Ness,2004.0,94.0
The River,1951.0,99.0
Virginia's Run,2002.0,103.0
Yanks,1979.0,138.0
Paradise Alley,1978.0,107.0
The Seagull's Laughter,2001.0,102.0
Wild Horses,1995.0,122.0
Woman Thou Art Loosed,2004.0,94.0
Arrowsmith,1931.0,108.0
Barbary Coast,1935.0,91.0
Stella Dallas,1937.0,106.0
Free Radicals,2003.0,120.0
The Unfaithful,1947.0,109.0
Come and Get It,1936.0,99.0
Panic in the Streets,1950.0,96.0
Call Northside 777,1948.0,111.0
Young Törless,1966.0,87.0
Bells Are Ringing,1960.0,126.0
Finian's Rainbow,1968.0,141.0
The Toolbox Murders,1978.0,93.0
The Sword of Doom,1966.0,120.0
Deep Crimson,1996.0,111.0
800 Bullets,2002.0,124.0
Matango: Attack of the Mushroom People,1963.0,89.0
Ebola Syndrome,1996.0,98.0
The Music of Chance,1993.0,98.0
Tammy and the T-Rex,1994.0,82.0
Mixed Blood,1984.0,98.0
If Looks Could Kill,1991.0,88.0
Greedy,1994.0,113.0
Carmen,1983.0,102.0
My Neighbors the Yamadas,1999.0,104.0
Pom Poko,1994.0,119.0
Knockin' on Heaven's Door,1997.0,87.0
City of Hope,1991.0,129.0
We're No Angels,1955.0,106.0
Sons and Lovers,1960.0,103.0
The Arrow,1997.0,180.0
Ruggles of Red Gap,1935.0,90.0
Greetings,1968.0,88.0
End of the Century: The Story of The Ramones,2003.0,110.0
Love Letter,1995.0,117.0
Natural City,2003.0,114.0
This Sporting Life,1963.0,134.0
A Touch of Zen,1971.0,200.0
Walker,1987.0,94.0
Zu: Warriors from the Magic Mountain,1983.0,95.0
Whistle Down the Wind,1961.0,99.0
The Earrings of Madame de...,1953.0,105.0
No One Writes to the Colonel,1999.0,118.0
Speedy,1928.0,86.0
Memories,1995.0,113.0
Invasion of Astro-Monster,1965.0,96.0
Harvie Krumpet,2003.0,23.0
Intimate Affairs,2002.0,108.0
The Wild Parrots of Telegraph Hill,2003.0,83.0
The Ballad of Jack and Rose,2005.0,111.0
Sin City,2005.0,124.0
Beauty Shop,2005.0,105.0
Look at Me,2004.0,110.0
Dust to Glory,2005.0,97.0
Sahara,2005.0,124.0
Fever Pitch,2005.0,103.0
Winter Solstice,2004.0,90.0
Smile,2005.0,107.0
Eye of the Tiger,1986.0,92.0
Not on the Lips,2003.0,115.0
"Krakatoa, East of Java",1969.0,131.0
Rhinestone,1984.0,111.0
Electra Glide in Blue,1973.0,114.0
Bring on the Night,1985.0,97.0
A Special Day,1977.0,110.0
This Land Is Mine,1943.0,103.0
The Foul King,2000.0,116.0
The Man Who Planted Trees,1987.0,30.0
Tanguy,2001.0,108.0
National Lampoon's Gold Diggers,2003.0,90.0
Blind Horizon,2003.0,99.0
Islands in the Stream,1977.0,104.0
Go for Broke!,1951.0,92.0
The Blood on Satan's Claw,1971.0,93.0
"Reuben, Reuben",1983.0,101.0
TNT Jackson,1974.0,72.0
Why Has Bodhi-Dharma Left for the East?,1989.0,137.0
Blue,1993.0,79.0
Bilitis,1977.0,95.0
Burn!,1969.0,112.0
Battle of the Bulge,1965.0,167.0
Ghosts... of the Civil Dead,1989.0,93.0
The Little Girl Who Lives Down the Lane,1976.0,91.0
Arabian Nights,1974.0,130.0
Age of Consent,1969.0,108.0
Oedipus Rex,1967.0,104.0
Ringu 0,2000.0,99.0
Brothers,2004.0,117.0
"Dearest Relatives, Poisonous Relations",1992.0,105.0
Major Barbara,1941.0,131.0
Steppenwolf,1974.0,107.0
Hawaii,1966.0,189.0
Pretty Maids All in a Row,1971.0,91.0
Loners,2000.0,103.0
Red Desert,1964.0,120.0
Satan's Brew,1976.0,113.0
Mädchen in Uniform,1931.0,88.0
Diary of a Lost Girl,1929.0,104.0
Sexmission,1984.0,117.0
44 Minutes: The North Hollywood Shoot-Out,2003.0,103.0
Macbeth,1948.0,107.0
Garage Olimpo,1999.0,98.0
Vincent,1982.0,6.0
Waterloo Bridge,1940.0,108.0
Hôtel Terminus: The Life and Times of Klaus Barbie,1988.0,267.0
The Sorrow and the Pity,1969.0,251.0
First Desires,1983.0,93.0
With Six You Get Eggroll,1968.0,95.0
"Move Over, Darling",1963.0,103.0
Love Me or Leave Me,1955.0,122.0
Jour de Fête,1949.0,76.0
The Big Store,1941.0,83.0
Mother Küsters Goes to Heaven,1975.0,108.0
Ivan's Childhood,1962.0,95.0
A Trip to the Moon,1902.0,14.0
Whisky,2004.0,99.0
The Ascent,1977.0,111.0
Carrie,2002.0,132.0
Boccaccio '70,1962.0,208.0
Frankenfish,2004.0,84.0
Who's Your Daddy?,2004.0,105.0
Control,2004.0,98.0
Category 6: Day of Destruction,2004.0,175.0
Trespassing,2004.0,88.0
A Self-Made Hero,1996.0,107.0
Life Is Sweet,1990.0,103.0
Ride the Pink Horse,1947.0,101.0
The Chant of Jimmie Blacksmith,1978.0,113.0
Double Suicide,1969.0,104.0
Boy,1969.0,105.0
Let Him Have It,1991.0,115.0
Guelwaar,1993.0,115.0
Dr. Akagi,1998.0,128.0
Black Rain,1989.0,123.0
Alexandra's Project,2003.0,103.0
Clean,2004.0,111.0
The Delicate Art of Parking,2003.0,86.0
Wilson,1944.0,154.0
Blossoms in the Dust,1941.0,99.0
The Hitchhiker's Guide to the Galaxy,2005.0,109.0
King's Game,2004.0,107.0
Barefoot,2005.0,110.0
Dark Habits,1983.0,114.0
Snake and Crane Arts of Shaolin,1978.0,96.0
The Eiger Sanction,1975.0,123.0
It Started in Naples,1960.0,100.0
Skin Game,1971.0,102.0
F for Fake,1973.0,89.0
Love Comes Softly,2003.0,88.0
The Amityville Horror,2005.0,90.0
Mutant Aliens,2002.0,81.0
Acts of Worship,2001.0,94.0
Ike: Countdown to D-Day,2004.0,89.0
Cry of the Banshee,1970.0,91.0
Phantom Lady,1944.0,87.0
Act of Violence,1949.0,82.0
Rouge,1987.0,96.0
Miracle in Milan,1951.0,100.0
Before the Fall,2004.0,117.0
The Frisco Kid,1979.0,114.0
Onmyoji: The Yin Yang Master,2001.0,112.0
State Property 2,2005.0,94.0
The Year of the Yao,2004.0,88.0
House of D,2005.0,97.0
Palindromes,2004.0,100.0
Down and Derby,2005.0,90.0
A Wake in Providence,1999.0,94.0
A Lot Like Love,2005.0,107.0
King's Ransom,2005.0,95.0
The Game of Their Lives,2005.0,101.0
Madison,2001.0,99.0
Enron: The Smartest Guys in the Room,2005.0,110.0
xXx: State of the Union,2005.0,101.0
Death of a Dynasty,2005.0,92.0
Kingdom of Heaven,2005.0,144.0
House of Wax,2005.0,113.0
Crash,2004.0,112.0
Jiminy Glick in Lalawood,2004.0,90.0
Mysterious Skin,2004.0,105.0
Mischief,1985.0,93.0
Jubal,1956.0,100.0
Viva Maria!,1965.0,120.0
Between Your Legs,1999.0,115.0
Zatôichi Meets the One-Armed Swordsman,1971.0,94.0
The Angry Silence,1960.0,95.0
Isadora,1968.0,131.0
San Francisco,1936.0,115.0
Earth,1930.0,75.0
Él,1953.0,92.0
La Chienne,1931.0,91.0
Eréndira,1983.0,103.0
The Private Lives of Elizabeth and Essex,1939.0,106.0
The Search,1948.0,104.0
Satantango,1994.0,450.0
On Borrowed Time,1939.0,99.0
The Taste of Tea,2004.0,143.0
Kes,1969.0,110.0
The Human Comedy,1943.0,117.0
Vampire Hunter D,1985.0,80.0
Buying the Cow,2002.0,88.0
A Common Thread,2004.0,89.0
The Cocoanuts,1929.0,96.0
The Bridge,1959.0,103.0
In the Time of the Butterflies,2001.0,95.0
Road House,1948.0,95.0
Dark Eyes,1987.0,117.0
Edges of the Lord,2001.0,95.0
Kids Return,1996.0,107.0
The Fearless Freaks,2005.0,100.0
Off the Map,2003.0,108.0
Unconscious,2004.0,100.0
The Tesseract,2003.0,93.0
25 Watts,2001.0,94.0
The Hiding Place,1975.0,150.0
The Keys of the Kingdom,1944.0,137.0
300 Miles to Heaven,1989.0,0.0
The Adventurer,1917.0,31.0
Crackerjack,2002.0,92.0
Solino,2002.0,120.0
Dear Wendy,2005.0,105.0
The List of Adrian Messenger,1963.0,94.0
9 Souls,2003.0,120.0
Los Angeles Plays Itself,2003.0,169.0
Unleashed,2005.0,103.0
The Red Squirrel,1993.0,114.0
Martin (Hache),1997.0,123.0
"Ugly, Dirty and Bad",1976.0,115.0
Leolo,1992.0,107.0
DuckTales: The Movie - Treasure of the Lost Lamp,1990.0,74.0
Babes in Arms,1939.0,93.0
Samaritan Girl,2004.0,95.0
Star Wars: Episode III - Revenge of the Sith,2005.0,140.0
Kicking & Screaming,2005.0,95.0
Monster-in-Law,2005.0,101.0
Agatha,1979.0,105.0
Death Takes a Holiday,1934.0,79.0
Vodka Lemon,2003.0,87.0
Deep Blue,2003.0,83.0
The Invisible Woman,1940.0,72.0
The Snow Walker,2003.0,103.0
Divorce Italian Style,1961.0,105.0
Carefree,1938.0,83.0
Shaolin Drunkard,1983.0,92.0
China Strike Force,2000.0,92.0
Dawg,2002.0,83.0
9 Songs,2004.0,66.0
The Uninvited,1944.0,99.0
Bad Guy,2002.0,100.0
Simon,2004.0,102.0
December 7th,1943.0,75.0
Bataan,1943.0,114.0
Madagascar,2005.0,86.0
Somersault,2004.0,105.0
11 Harrowhouse,1974.0,94.0
Airborne,1993.0,91.0
Mad Hot Ballroom,2005.0,105.0
Tell Them Who You Are,2004.0,95.0
Dominion: Prequel to the Exorcist,2005.0,117.0
The Longest Yard,2005.0,113.0
Saving Face,2004.0,91.0
Most Wanted,1997.0,99.0
Cinderella Man,2005.0,144.0
The Sisterhood of the Traveling Pants,2005.0,119.0
Lords of Dogtown,2005.0,107.0
After You,2003.0,110.0
Rock School,2005.0,93.0
Mr. & Mrs. Smith,2005.0,120.0
The Adventures of Sharkboy and Lavagirl,2005.0,92.0
High Tension,2003.0,91.0
The Honeymooners,2005.0,90.0
Parineeta,2005.0,131.0
Toto the Hero,1991.0,91.0
Ladies in Lavender,2004.0,104.0
It's All Gone Pete Tong,2004.0,90.0
Daybreak,1993.0,91.0
When Trumpets Fade,1998.0,95.0
Innocent Voices,2004.0,120.0
Godzilla vs. Biollante,1989.0,105.0
Anna and the King of Siam,1946.0,128.0
Dirty Filthy Love,2005.0,93.0
Good Neighbor Sam,1964.0,130.0
Eddie Izzard: Dress to Kill,1999.0,114.0
Quo Vadis,1951.0,171.0
The Captain's Paradise,1953.0,94.0
Batman Begins,2005.0,140.0
Aragami,2003.0,76.0
Godzilla: Final Wars,2004.0,125.0
Kings and Queen,2004.0,150.0
The Perfect Man,2005.0,100.0
My Summer of Love,2004.0,86.0
Heights,2005.0,93.0
The Deal,2005.0,107.0
The Bridge of San Luis Rey,2004.0,120.0
Saint Ralph,2004.0,95.0
Herbie Fully Loaded,2005.0,101.0
Yes,2005.0,100.0
Land of the Dead,2005.0,93.0
Bewitched,2005.0,102.0
Rize,2005.0,86.0
Exiles,2004.0,104.0
Home Movie,2001.0,66.0
Becky Sharp,1935.0,84.0
Danger: Diabolik,1968.0,100.0
The Trail of the Lonesome Pine,1936.0,102.0
Me and You and Everyone We Know,2005.0,90.0
Ferpect Crime,2004.0,105.0
Three… Extremes,2004.0,125.0
Happily Ever After,2004.0,100.0
Satan's Little Helper,2004.0,100.0
The Edukators,2004.0,127.0
Somebody Up There Likes Me,1956.0,113.0
An Unmarried Woman,1978.0,124.0
The Racket,1951.0,88.0
The Member of the Wedding,1952.0,93.0
Coronado,2003.0,84.0
Retrograde,2004.0,93.0
Trekkies 2,2004.0,93.0
Man with the Screaming Brain,2005.0,90.0
Ulzana's Raid,1972.0,103.0
Rabbit Test,1978.0,84.0
The New Land,1972.0,204.0
The Adventures of Mark Twain,1944.0,130.0
Bordertown,1935.0,90.0
Cop and ½,1993.0,97.0
Equinox,1992.0,110.0
Father's Little Dividend,1951.0,82.0
For Pete's Sake,1974.0,90.0
Twenty Bucks,1993.0,91.0
Do Not Disturb,1999.0,94.0
Deceived,1991.0,104.0
Room Service,1938.0,78.0
Desert Saints,2002.0,88.0
Caterina in the Big City,2003.0,105.0
My Friends,1975.0,140.0
At the Circus,1939.0,87.0
The Outfit,1973.0,103.0
Modigliani,2004.0,128.0
Broadway Melody of 1940,1940.0,102.0
The I Inside,2004.0,90.0
War of the Worlds,2005.0,116.0
My Brilliant Career,1979.0,100.0
Godzilla vs. Hedorah,1971.0,87.0
Gambit,1966.0,109.0
Billion Dollar Brain,1967.0,111.0
March of the Penguins,2005.0,80.0
Right Now,2004.0,95.0
Julian Po,1997.0,84.0
The God Who Wasn't There,2005.0,62.0
Black Belt Jones,1974.0,87.0
Rebound,2005.0,103.0
Bonjour Monsieur Shlomi,2003.0,94.0
The Inner Circle,1991.0,137.0
Dark Water,2005.0,105.0
The Beat That My Heart Skipped,2005.0,107.0
Fantastic Four,2005.0,106.0
Murderball,2005.0,88.0
Saraband,2003.0,120.0
Julie Johnson,2001.0,93.0
Wedding Crashers,2005.0,119.0
Happy Endings,2005.0,128.0
C.H.O.M.P.S.,1979.0,89.0
The Hindenburg,1975.0,125.0
Staying Together,1989.0,91.0
Twin Sitters,1994.0,93.0
Conflict,1945.0,86.0
Russian Dolls,2005.0,129.0
The Crippled Masters,1979.0,90.0
General Della Rovere,1959.0,132.0
Rick,2003.0,100.0
No Blade of Grass,1970.0,96.0
A Time to Love and a Time to Die,1958.0,132.0
The Big Sky,1952.0,140.0
Fighter In The Wind,2004.0,120.0
Pornography,2003.0,113.0
Symmetry,2003.0,99.0
Karol: A Man Who Became Pope,2005.0,155.0
Family Resemblances,1996.0,110.0
Hustle & Flow,2005.0,116.0
Hardware,1990.0,93.0
The Appaloosa,1966.0,98.0
Journey Into Fear,1943.0,68.0
The Calcium Kid,2004.0,89.0
Funny Ha Ha,2002.0,85.0
The Island,2005.0,136.0
Bad News Bears,2005.0,113.0
The Devil's Rejects,2005.0,107.0
Last Days,2005.0,96.0
November,2003.0,104.0
Sky High,2005.0,100.0
Stealth,2005.0,121.0
Must Love Dogs,2005.0,98.0
The Aristocrats,2005.0,89.0
Twice in a Lifetime,1985.0,111.0
Georgy Girl,1966.0,99.0
This Is My Life,1992.0,105.0
The Music Lovers,1970.0,123.0
Kiss and Make-Up,1934.0,78.0
Killer Condom,1996.0,107.0
A Touch of Spice,2003.0,108.0
Dust Devil,1992.0,103.0
Phone,2002.0,100.0
The Order,2001.0,89.0
Serenity,2005.0,119.0
The End of Suburbia: Oil Depletion and the Collapse of the American Dream,2004.0,78.0
Let's Get Lost,1988.0,120.0
The Talent Given Us,2004.0,98.0
Sholay,1975.0,204.0
Broken Flowers,2005.0,105.0
Mr. Canton and Lady Rose,1989.0,127.0
Christmas in August,1998.0,97.0
Hum Dil De Chuke Sanam,1999.0,188.0
Baby Face,1933.0,71.0
The Star,1952.0,89.0
The Browning Version,1951.0,90.0
Fourteen Hours,1951.0,92.0
The Heart is Deceitful Above All Things,2004.0,98.0
Whispering Corridors,1998.0,105.0
Man-Thing,2005.0,97.0
Berserk,1967.0,96.0
The Dukes of Hazzard,2005.0,104.0
The Chumscrubber,2005.0,108.0
Secuestro Express,2005.0,86.0
Junebug,2005.0,106.0
Deuce Bigalow: European Gigolo,2005.0,83.0
The Skeleton Key,2005.0,104.0
Four Brothers,2005.0,109.0
The Great Raid,2005.0,132.0
Asylum,2005.0,99.0
Pretty Persuasion,2005.0,105.0
Grizzly Man,2005.0,103.0
The Tree of Wooden Clogs,1978.0,186.0
The Girl in the Café,2005.0,94.0
The 24th Day,2004.0,96.0
Prime Cut,1972.0,88.0
The Best of Everything,1959.0,121.0
Summer Magic,1963.0,110.0
The Three Stooges Meet Hercules,1962.0,89.0
Race with the Devil,1975.0,88.0
Acacia,2003.0,102.0
Mermaid Chronicles Part 1: She Creature,2001.0,91.0
Attila,2001.0,177.0
Un Flic,1972.0,98.0
One Point O,2004.0,92.0
My Date with Drew,2005.0,90.0
Private Resort,1985.0,82.0
Pusher II: With Blood on My Hands,2004.0,100.0
A Woman Rebels,1936.0,88.0
Duma,2005.0,100.0
Bitter Victory,1957.0,82.0
Lila Says,2004.0,89.0
Doomed to Die,1940.0,68.0
Animal Farm,1954.0,72.0
Winter Soldier,1972.0,96.0
The Third Wheel,2002.0,87.0
The Sea,2002.0,109.0
Teen Witch,1989.0,94.0
The Last of Mrs. Cheyney,1937.0,98.0
Homesick,2005.0,85.0
Cast a Deadly Spell,1991.0,96.0
Movie Movie,1978.0,105.0
The Teahouse of the August Moon,1956.0,123.0
Do Fish Do It?,2002.0,103.0
Black,2005.0,122.0
The 40 Year Old Virgin,2005.0,116.0
Who Killed Bambi?,2003.0,126.0
Contraband,1940.0,92.0
The Toolbox Murders,2004.0,95.0
Red Eye,2005.0,85.0
Lightning Bug,2004.0,0.0
Man of the West,1958.0,100.0
Main Hoon Na,2004.0,175.0
Dilwale Dulhania Le Jayenge,1995.0,190.0
Dreamchild,1985.0,94.0
Miss Sweden,2004.0,92.0
My Cousin Rachel,1952.0,98.0
Caché,2005.0,117.0
Nobody Will Speak of Us When We're Dead,1995.0,104.0
Asterix & Obelix Take on Caesar,1999.0,109.0
The Key,1958.0,134.0
Strings,2004.0,88.0
Kin-dza-dza!,1986.0,135.0
Comrades: Almost a Love Story,1996.0,118.0
Supercross,2005.0,80.0
Valiant,2005.0,76.0
The Brothers Grimm,2005.0,118.0
The Desperadoes,1943.0,87.0
Black Dragons,1942.0,64.0
The Holy Girl,2004.0,106.0
They Came Back,2004.0,102.0
The Baxter,2005.0,91.0
The Cave,2005.0,97.0
Undiscovered,2005.0,97.0
Dirty Deeds,2005.0,87.0
The Constant Gardener,2005.0,129.0
Transporter 2,2005.0,87.0
Margaret Cho: Assassin,2005.0,90.0
Just Like Heaven,2005.0,95.0
Proof,2005.0,100.0
Lord of War,2005.0,122.0
Venom,2005.0,85.0
Cry_Wolf,2005.0,90.0
Everything is Illuminated,2005.0,106.0
Thumbsucker,2005.0,96.0
The Thing About My Folks,2005.0,96.0
HellBent,2004.0,85.0
G,2002.0,96.0
In Old Chicago,1937.0,95.0
Now and Forever,1934.0,81.0
L.A. Without a Map,1998.0,107.0
Where Angels Fear to Tread,1991.0,108.0
Family Guy Presents Stewie Griffin: The Untold Story,2005.0,88.0
Born in Flames,1983.0,80.0
Revenge of the Ninja,1983.0,90.0
Sometimes in April,2005.0,140.0
Bookies,2003.0,88.0
Angel In My Pocket,1969.0,105.0
Police Story 2,1988.0,101.0
Le Jour se Lève,1939.0,93.0
International House,1933.0,68.0
New Police Story,2004.0,123.0
The Edge of the World,1937.0,81.0
Golden Boy,1939.0,99.0
Go West,1940.0,80.0
Why We Fight,2005.0,98.0
Companeros,1970.0,118.0
Will Penny,1967.0,110.0
200 Motels,1971.0,98.0
Gertrud,1964.0,119.0
Come Drink with Me,1966.0,91.0
Kitty Foyle,1940.0,108.0
Doom,2005.0,105.0
Domino,2005.0,127.0
Waiting...,2005.0,94.0
Æon Flux,2005.0,93.0
Frankenstein 90,1984.0,100.0
Wedlock,1991.0,101.0
An Unfinished Life,2005.0,108.0
The Man,2005.0,83.0
Survive Style 5+,2004.0,120.0
Woyzeck,1979.0,82.0
It's a Gift,1934.0,68.0
Zozo,2005.0,105.0
Blue Hill Avenue,2001.0,128.0
Chapter Two,1979.0,124.0
16 Years of Alcohol,2003.0,102.0
The Exorcism of Emily Rose,2005.0,122.0
Flightplan,2005.0,98.0
Corpse Bride,2005.0,77.0
Green Street Hooligans,2005.0,109.0
A History of Violence,2005.0,96.0
Oliver Twist,2005.0,130.0
The Greatest Game Ever Played,2005.0,120.0
Capote,2005.0,114.0
The Story of Vernon and Irene Castle,1939.0,93.0
The Anderson Tapes,1971.0,99.0
Born to Fight,2004.0,96.0
Final Fantasy VII: Advent Children,2005.0,101.0
Cockles and Muscles,2005.0,93.0
Roll Bounce,2005.0,112.0
Daltry Calhoun,2005.0,100.0
Into the Blue,2005.0,110.0
"The Prize Winner of Defiance, Ohio",2005.0,99.0
Mirrormask,2005.0,101.0
Kwik Stop,2001.0,110.0
Innocence,2004.0,122.0
4,2005.0,126.0
Book of Love,2004.0,83.0
American Yakuza,1993.0,96.0
The Flowers of St. Francis,1950.0,75.0
Madhouse,2004.0,91.0
Man to Man,2005.0,122.0
Münchhausen,1943.0,134.0
Medea,1988.0,76.0
The Curse of the Were-Rabbit,2005.0,85.0
Seven Swords,2005.0,153.0
Kiss Kiss Bang Bang,2005.0,103.0
Whispering Corridors 3: Wishing Stairs,2003.0,97.0
A Bittersweet Life,2005.0,120.0
Dumplings,2004.0,91.0
A Short Film About Love,1988.0,86.0
"All This, and Heaven Too",1940.0,141.0
Bubble,2005.0,73.0
Beowulf & Grendel,2005.0,103.0
No Direction Home: Bob Dylan,2005.0,208.0
Valerie and Her Week of Wonders,1970.0,73.0
Everybody's Fine,1990.0,118.0
Hail the Conquering Hero,1944.0,101.0
Goal!: The Dream Begins,2005.0,118.0
Forty Shades of Blue,2005.0,108.0
Touch the Sound,2004.0,99.0
Angels in America,2003.0,352.0
Speak,2004.0,89.0
The Wraith,1986.0,93.0
Factotum,2005.0,94.0
Sweet Movie,1974.0,99.0
By Dawn's Early Light,1990.0,101.0
Don't Come Knocking,2005.0,123.0
Bullets or Ballots,1936.0,82.0
In Her Shoes,2005.0,130.0
Mother of Mine,2005.0,111.0
The Ketchup Effect,2004.0,90.0
55 Days at Peking,1963.0,154.0
Dead & Breakfast,2004.0,88.0
Freeze Frame,2004.0,99.0
Punishment Park,1971.0,88.0
The Mating Game,1959.0,96.0
The Squid and the Whale,2005.0,81.0
Two for the Money,2005.0,122.0
Separate Lies,2005.0,85.0
Fourteen Sucks,2004.0,83.0
Star Wreck: In the Pirkinning,2005.0,103.0
Evelyn Prentice,1934.0,79.0
Brokeback Mountain,2005.0,134.0
Blue Vinyl,2002.0,98.0
Elizabethtown,2005.0,123.0
North Country,2005.0,126.0
Leila,1997.0,102.0
"Good Night, and Good Luck.",2005.0,93.0
Li'l Abner,1959.0,114.0
Dreamer: Inspired By a True Story,2005.0,106.0
The Profession of Arms,2001.0,105.0
Detective Story,1951.0,103.0
The Proposition,2005.0,104.0
The Gospel,2005.0,105.0
Dandelion,2004.0,93.0
C.S.A.: The Confederate States of America,2004.0,89.0
The Fog,2005.0,100.0
Loggerheads,2005.0,95.0
Left Behind III: World at War,2005.0,95.0
Protocols Of Zion,2005.0,95.0
Living 'til the End,2005.0,87.0
Shopgirl,2005.0,104.0
Kids in America,2005.0,91.0
Where the Truth Lies,2005.0,107.0
Barely Legal,2003.0,90.0
Emmanuel's Gift,2005.0,80.0
Stay,2005.0,99.0
Confess,2005.0,90.0
The Legend of Zorro,2005.0,129.0
God's Sandbox,2002.0,86.0
New York Doll,2005.0,75.0
The Weather Man,2005.0,101.0
Saw II,2005.0,92.0
Prime,2005.0,102.0
One Wonderful Sunday,1947.0,108.0
Will Success Spoil Rock Hunter?,1957.0,93.0
Don't Move,2004.0,125.0
Three Rooms of Melancholia,2004.0,106.0
"Race for Your Life, Charlie Brown",1977.0,76.0
Jerusalem,1996.0,168.0
"A Genius, Two Friends, and an Idiot",1975.0,117.0
Teorema,1968.0,98.0
Little Fish,2005.0,114.0
American Pie Presents: Band Camp,2005.0,94.0
Champion,1949.0,99.0
Requiem for a Vampire,1971.0,87.0
Life Is a Miracle,2004.0,155.0
Tarzan the Ape Man,1932.0,100.0
Tarzan and His Mate,1934.0,100.0
Midnight Lace,1960.0,110.0
Empire of the Wolves,2005.0,128.0
The Great Yokai War,2005.0,124.0
The Swindle,1955.0,91.0
Mahogany,1975.0,109.0
Angels in Fast Motion,2005.0,125.0
Manderlay,2005.0,139.0
Week-End in Havana,1941.0,81.0
Nine Lives,2005.0,115.0
South Central,1992.0,99.0
Damnation Alley,1977.0,91.0
The Bridges at Toko-Ri,1954.0,102.0
Love on the Run,1979.0,89.0
Duck Season,2004.0,90.0
Aprile,1998.0,78.0
The Adventures of Prince Achmed,1926.0,65.0
The Gore Gore Girls,1972.0,81.0
Revolver,2005.0,115.0
Wild Zero,1999.0,98.0
Everything Put Together,2001.0,87.0
Jarhead,2005.0,125.0
Siblings,2004.0,85.0
Ushpizin,2004.0,90.0
Chicken Little,2005.0,81.0
Romance & Cigarettes,2005.0,105.0
To The Other Side,2004.0,90.0
Dead Man's Shoes,2004.0,90.0
Joyeux Noël,2005.0,116.0
Count Dracula,1970.0,98.0
The Brides of Dracula,1960.0,85.0
The Stratton Story,1949.0,106.0
The House That Dripped Blood,1971.0,102.0
Night of the Big Heat,1967.0,94.0
The Gorgon,1964.0,83.0
Night of the Lepus,1972.0,88.0
The Match Factory Girl,1990.0,66.0
Zombie and the Ghost Train,1991.0,88.0
Highball,1997.0,110.0
Get Rich or Die Tryin',2005.0,117.0
Sword of the Beast,1965.0,85.0
Just Friends,2005.0,96.0
Syriana,2005.0,128.0
Calamari Union,1985.0,84.0
The Best Intentions,1992.0,182.0
La Vie de Bohème,1992.0,100.0
Menolippu Mombasaan,2002.0,88.0
Derailed,2005.0,108.0
Creep,2004.0,85.0
Pride & Prejudice,2005.0,135.0
Keep Your Distance,2005.0,94.0
Edison,2005.0,99.0
Hi-Life,1998.0,82.0
Wolf Creek,2005.0,99.0
The Descent,2005.0,99.0
Summer Interlude,1951.0,96.0
Takeshis',2005.0,108.0
Forty Guns,1957.0,79.0
Harry Potter and the Goblet of Fire,2005.0,157.0
Dinner with Friends,2001.0,94.0
Walk the Line,2005.0,136.0
Rent,2005.0,135.0
A Story of Floating Weeds,1934.0,86.0
My Mother's Smile,2002.0,105.0
Fists in the Pocket,1965.0,105.0
Zathura: A Space Adventure,2005.0,101.0
CRAZY,2005.0,127.0
Lonesome Jim,2005.0,91.0
Our Vines Have Tender Grapes,1945.0,105.0
Sarah Silverman: Jesus Is Magic,2005.0,70.0
Bee Season,2005.0,104.0
Breakfast on Pluto,2005.0,128.0
The Ice Harvest,2005.0,88.0
"Yours, Mine & Ours",2005.0,90.0
In The Mix,2005.0,95.0
The Libertine,2004.0,114.0
First Descent,2005.0,110.0
The Wild Geese,1978.0,134.0
Hondo,1953.0,83.0
The Bird with the Crystal Plumage,1970.0,98.0
A Good Woman,2004.0,94.0
Gate of Flesh,1964.0,90.0
Brides,2004.0,128.0
The Evil of Frankenstein,1964.0,86.0
The Clockmaker of St. Paul,1974.0,105.0
Welcome to the Roses,2003.0,90.0
The Driver,1978.0,91.0
Mondovino,2004.0,135.0
Sounder,1972.0,105.0
Match Point,2005.0,124.0
Nazarin,1959.0,94.0
Ziegfeld Follies,1945.0,110.0
Lorna,1964.0,78.0
The Deep,1977.0,123.0
The Dying Gaul,2005.0,95.0
After Innocence,2005.0,95.0
The Citadel,1938.0,110.0
Beyond the Gates of Splendor,2002.0,96.0
A Southern Yankee,1948.0,90.0
Paradise Now,2005.0,90.0
